%Sensor 14 longitudinal
%Brücke 1			Brücke 2			Brücke 3			Brücke 4		
p1 	Ub1		p2	Ub2		p3	Ub3		p4	Ub4
0	5.24	0	6.03	0	0.93	0	2.27	
0.18	14.58	0.17	13.7	0.19	9.84	0.13	8.77	
0.31	20.34	0.27	18.18	0.35	17.08	0.24	14.07	
0.47	27.63	0.47	26.41	0.48	21.96	0.37	19.65	
0.62	33.7	0.70	34.62	0.62	27.16	0.50	25.2	
0.76	38.79	0.90	40.92	0.75	31.46	0.64	30.59	
0.95	45.03	1.08	45.82	0.87	35.4	0.80	36.3	
1.06	48.5	nan	nan	1.01	39.33	1.04	43.39	
